pathway_note	reaction_name	IS_reversible	substrate	product
pfa00010	R00014	false	C00068 	C05125
pfa00010	R00014	false	 C00022	C05125
pfa00010	R03270	false	C05125 	C16255 
pfa00010	R03270	false	C05125 	 C00068
pfa00010	R03270	false	 C15972	C16255 
pfa00010	R03270	false	 C15972	 C00068
pfa00010	R02569	true	C00024 	C16255
pfa00010	R02569	true	 C15973	C16255
pfa00010	R02569	true	C16255	C00024 
pfa00010	R02569	true	C16255	 C15973
pfa00010	R00200	false	C00074	C00022
pfa00010	R00658	true	C00631	C00074
pfa00010	R00658	true	C00074	C00631
pfa00010	R01518	true	C00631	C00197
pfa00010	R01518	true	C00197	C00631
pfa00010	R01061	true	C00118	C00236
pfa00010	R01061	true	C00236	C00118
pfa00010	R01015	true	C00118	C00111
pfa00010	R01015	true	C00111	C00118
pfa00010	R01070	true	C05378	C00118 
pfa00010	R01070	true	C05378	 C00111
pfa00010	R01070	true	C00118 	C05378
pfa00010	R01070	true	 C00111	C05378
pfa00010	R02740	true	C00668	C05345
pfa00010	R02740	true	C05345	C00668
pfa00010	R00959	true	C00103	C00668
pfa00010	R00959	true	C00668	C00103
pfa00010	R03321	true	C01172	C05345
pfa00010	R03321	true	C05345	C01172
pfa00010	R01600	false	C00221	C01172
pfa00010	R02739	true	C00668	C01172
pfa00010	R02739	true	C01172	C00668
pfa00010	R01786	false	C00267	C00668
pfa00010	R07618	true	C15973	C15972
pfa00010	R07618	true	C15972	C15973
pfa00010	R01512	true	C00197	C00236
pfa00010	R01512	true	C00236	C00197
pfa00010	R00341	false	C00036	C00074
pfa00010	R00235	false	C00033	C00024
pfa00010	R02073	true	C05345	C05378
pfa00010	R02073	true	C05378	C05345
pfa00020	R07618	true	C15973	C15972
pfa00020	R07618	true	C15972	C15973
pfa00020	R00621	false	C00026 	C05381
pfa00020	R00621	false	 C00068	C05381
pfa00020	R03316	false	C05381 	C16254 
pfa00020	R03316	false	C05381 	 C00068
pfa00020	R03316	false	 C15972	C16254 
pfa00020	R03316	false	 C15972	 C00068
pfa00020	R02570	true	C00091 	C16254
pfa00020	R02570	true	 C15973	C16254
pfa00020	R02570	true	C16254	C00091 
pfa00020	R02570	true	C16254	 C15973
pfa00020	R00405	true	C00042	C00091
pfa00020	R00405	true	C00091	C00042
pfa00020	R00432&R00727	true	C00042	C00091
pfa00020	R00432&R00727	true	C00091	C00042
pfa00020	R00268	true	C05379	C00026
pfa00020	R00268	true	C00026	C05379
pfa00020	R01899	true	C00311	C05379
pfa00020	R01899	true	C05379	C00311
pfa00020	R02164	true	C00042	C00122
pfa00020	R02164	true	C00122	C00042
pfa00020	R01082	true	C00149	C00122
pfa00020	R01082	true	C00122	C00149
pfa00020	R01900	true	C00417	C00311
pfa00020	R01900	true	C00311	C00417
pfa00020	R01325	true	C00158	C00417
pfa00020	R01325	true	C00417	C00158
pfa00020	R00351	true	C00036 	C00158
pfa00020	R00351	true	 C00024	C00158
pfa00020	R00351	true	C00158	C00036 
pfa00020	R00351	true	C00158	 C00024
pfa00020	R00014	false	C00022 	C05125
pfa00020	R00014	false	 C00068	C05125
pfa00020	R03270	false	C05125 	C00068 
pfa00020	R03270	false	C05125 	 C16255
pfa00020	R03270	false	 C15972	C00068 
pfa00020	R03270	false	 C15972	 C16255
pfa00020	R07618	true	C15973	C15972
pfa00020	R07618	true	C15972	C15973
pfa00020	R02569	true	C15973 	C16255
pfa00020	R02569	true	 C00024	C16255
pfa00020	R02569	true	C16255	C15973 
pfa00020	R02569	true	C16255	 C00024
pfa00020	R00341	false	C00036	C00074
pfa00020	R00361	false	C00149	C00036
pfa00030	R02739	true	C00668	C01172
pfa00030	R02739	true	C01172	C00668
pfa00030	R01066	true	C00673	C00118
pfa00030	R01066	true	C00118	C00673
pfa00030	R01049	true	C00117	C00119
pfa00030	R01049	true	C00119	C00117
pfa00030	R01641	true	C05382 	C00117 
pfa00030	R01641	true	C05382 	 C00231
pfa00030	R01641	true	 C00118	C00117 
pfa00030	R01641	true	 C00118	 C00231
pfa00030	R01641	true	C00117 	C05382 
pfa00030	R01641	true	C00117 	 C00118
pfa00030	R01641	true	 C00231	C05382 
pfa00030	R01641	true	 C00231	 C00118
pfa00030	R01056	true	C00117	C00199
pfa00030	R01056	true	C00199	C00117
pfa00030	R01529	true	C00199	C00231
pfa00030	R01529	true	C00231	C00199
pfa00030	R01830	true	C00118 	C00279 
pfa00030	R01830	true	C00118 	 C00231
pfa00030	R01830	true	 C05345	C00279 
pfa00030	R01830	true	 C05345	 C00231
pfa00030	R01830	true	C00279 	C00118 
pfa00030	R01830	true	C00279 	 C05345
pfa00030	R01830	true	 C00231	C00118 
pfa00030	R01830	true	 C00231	 C05345
pfa00030	R01070	true	C05378	C00118
pfa00030	R01070	true	C00118	C05378
pfa00030	R02740	true	C00668	C05345
pfa00030	R02740	true	C05345	C00668
pfa00030	R01528	false	C00345	C00199
pfa00030	R02736	false	C01172	C01236
pfa00030	R01057	true	C00620	C00117
pfa00030	R01057	true	C00117	C00620
pfa00030	R10221	false	C00345	C00199
pfa00030	R02736&R10907	false	C01172	C01236
pfa00030	R02073	true	C05345	C05378
pfa00030	R02073	true	C05378	C05345
pfa00040	R01529	true	C00199	C00231
pfa00040	R01529	true	C00231	C00199
pfa00040	R01381	true	C05385	C00167
pfa00040	R01381	true	C00167	C05385
pfa00051	R01326	false	C00159	C00275
pfa00051	R00867	false	C00095	C05345
pfa00051	R01818	true	C00275	C00636
pfa00051	R01818	true	C00636	C00275
pfa00051	R05692	false	C01222	C00325
pfa00051	R00888	false	C00096	C01222
pfa00051	R00885	false	C00636	C00096
pfa00051	R02073	true	C05345	C05378
pfa00051	R02073	true	C05378	C05345
pfa00051	R01015	true	C00118	C00111
pfa00051	R01015	true	C00111	C00118
pfa00051	R02568	true	C01094	C00577 
pfa00051	R02568	true	C01094	 C00111
pfa00051	R02568	true	C00577 	C01094
pfa00051	R02568	true	 C00111	C01094
pfa00051	R01070	true	C05378	C00118
pfa00051	R01070	true	C00118	C05378
pfa00052	R01786	true	C00267	C00668
pfa00052	R01786	true	C00668	C00267
pfa00052	R00959	true	C00103	C00668
pfa00052	R00959	true	C00668	C00103
pfa00052	R00502	true	C00446	C00052
pfa00052	R00502	true	C00052	C00446
pfa00061	R07765	true	C16221	C04088
pfa00061	R07765	true	C04088	C16221
pfa00061	R07764	true	C16220	C16221
pfa00061	R07764	true	C16221	C16220
pfa00061	R07762	false	C05764 	C16219
pfa00061	R07762	false	 C01209	C16219
pfa00061	R07763	true	C16219	C16220
pfa00061	R07763	true	C16220	C16219
pfa00061	R04968	false	C05761 	C05762
pfa00061	R04968	false	 C01209	C05762
pfa00061	R04726	false	C05223 	C05759
pfa00061	R04726	false	 C01209	C05759
pfa00061	R04963	false	C05755 	C05756
pfa00061	R04963	false	 C01209	C05756
pfa00061	R04960	false	C05752 	C05753
pfa00061	R04960	false	 C01209	C05753
pfa00061	R04957	false	C05749 	C05750
pfa00061	R04957	false	 C01209	C05750
pfa00061	R04952	false	C05745 	C05746
pfa00061	R04952	false	 C01209	C05746
pfa00061	R04969&R04970	true	C05763	C05764
pfa00061	R04969&R04970	true	C05764	C05763
pfa00061	R04543	true	C05762	C04633
pfa00061	R04543	true	C04633	C05762
pfa00061	R04966&R04967	true	C05760	C05761
pfa00061	R04966&R04967	true	C05761	C05760
pfa00061	R04566	true	C05759	C04688
pfa00061	R04566	true	C04688	C05759
pfa00061	R04724&R04725	true	C05758	C05223
pfa00061	R04724&R04725	true	C05223	C05758
pfa00061	R04964	true	C05756	C05757
pfa00061	R04964	true	C05757	C05756
pfa00061	R04961&R04962	true	C05754	C05755
pfa00061	R04961&R04962	true	C05755	C05754
pfa00061	R04534	true	C05753	C04619
pfa00061	R04534	true	C04619	C05753
pfa00061	R04958&R04959	true	C05751	C05752
pfa00061	R04958&R04959	true	C05752	C05751
pfa00061	R04536	true	C05750	C04620
pfa00061	R04536	true	C04620	C05750
pfa00061	R04955&R04956	true	C05748	C05749
pfa00061	R04955&R04956	true	C05749	C05748
pfa00061	R04953	true	C05746	C05747
pfa00061	R04953	true	C05747	C05746
pfa00061	R04429&R04430	true	C04246	C05745
pfa00061	R04429&R04430	true	C05745	C04246
pfa00061	R04533	true	C04618	C05744
pfa00061	R04533	true	C05744	C04618
pfa00061	R01626	false	C00083 	C01209
pfa00061	R01626	false	 C00229	C01209
pfa00061	R00742	true	C00024	C00083
pfa00061	R00742	true	C00083	C00024
pfa00061	R04355	false	C03939 	C05744
pfa00061	R04355	false	 C01209	C05744
pfa00061	R10707	false	C00024 	C05744
pfa00061	R10707	false	 C01209	C05744
pfa00061	R04428	true	C04618	C04246
pfa00061	R04428	true	C04246	C04618
pfa00061	R04954	true	C05747	C05748
pfa00061	R04954	true	C05748	C05747
pfa00061	R04537	true	C04620	C05751
pfa00061	R04537	true	C05751	C04620
pfa00061	R04535	true	C04619	C05754
pfa00061	R04535	true	C05754	C04619
pfa00061	R04965	true	C05757	C05758
pfa00061	R04965	true	C05758	C05757
pfa00061	R04568	true	C04688	C05760
pfa00061	R04568	true	C05760	C04688
pfa00061	R04544	true	C04633	C05763
pfa00061	R04544	true	C05763	C04633
pfa00061	R01280	false	C00249	C00154
pfa00061	R04355	false	C03939 	C05744
pfa00061	R04355	false	 C01209	C05744
pfa00061	R02768	false	C00173 	C00685
pfa00061	R02768	false	 C01209	C00685
pfa00061	R01626	false	C00229 	C01209
pfa00061	R01626	false	 C00083	C01209
pfa00061	R10208	true	C01271	C00693
pfa00061	R10208	true	C00693	C01271
pfa00061	R02767	true	C00685	C01271
pfa00061	R02767	true	C01271	C00685
pfa00061	R01626	false	C00083 	C01209
pfa00061	R01626	false	 C00229	C01209
pfa00061	R10707	false	C01209 	C05744
pfa00061	R10707	false	 C00024	C05744
pfa00061	R00390	false	C00638	C02843
pfa00061	R00390	false	C00638	C02843
pfa00061	R02768	false	C00173 	C00685
pfa00061	R02768	false	 C01209	C00685
pfa00061	R01403	true	C00693	C00173
pfa00061	R01403	true	C00173	C00693
pfa00061	R02767	true	C00685	C01271
pfa00061	R02767	true	C01271	C00685
pfa00061	R00742	false	C00024	C00083
pfa00061	R00742	false	C00024	C00083
pfa00061	R00742	false	C00024	C00083
pfa00061	R01404	true	C00693	C00173
pfa00061	R01404	true	C00173	C00693
pfa00062	R10827	false	C20878	C20879
pfa00062	R10828	false	C20879	C02843 cpd
pfa00062	R10825	false	C20876 	C20877
pfa00062	R10825	false	 C00083	C20877
pfa00071	R00238	true	C00024	C00332
pfa00071	R00238	true	C00332	C00024
pfa00071	R01177	true	C00024 	C05269 
pfa00071	R01177	true	C00024 	 C00010
pfa00071	R01177	true	 C00136	C05269 
pfa00071	R01177	true	 C00136	 C00010
pfa00071	R01177	true	C05269 	C00024 
