pathway_note	reaction_name	IS_reversible	substrate	product
syf00010	R00710	true	C00084	C00033
syf00010	R00710	true	C00033	C00084
syf00010	R00754	true	C00469	C00084
syf00010	R00754	true	C00084	C00469
syf00010	R00014	false	C00068 	C05125
syf00010	R00014	false	 C00022	C05125
syf00010	R03270	false	C05125 	C16255 
syf00010	R03270	false	C05125 	 C00068
syf00010	R03270	false	 C15972	C16255 
syf00010	R03270	false	 C15972	 C00068
syf00010	R02569	true	C00024 	C16255
syf00010	R02569	true	 C15973	C16255
syf00010	R02569	true	C16255	C00024 
syf00010	R02569	true	C16255	 C15973
syf00010	R00200	false	C00074	C00022
syf00010	R00658	true	C00631	C00074
syf00010	R00658	true	C00074	C00631
syf00010	R01061	true	C00118	C00236
syf00010	R01061	true	C00236	C00118
syf00010	R01015	true	C00118	C00111
syf00010	R01015	true	C00111	C00118
syf00010	R01070	true	C05378	C00118 
syf00010	R01070	true	C05378	 C00111
syf00010	R01070	true	C00118 	C05378
syf00010	R01070	true	 C00111	C05378
syf00010	R04779	false	C05345	C05378
syf00010	R04780	false	C05378	C05345
syf00010	R02740	true	C00668	C05345
syf00010	R02740	true	C05345	C00668
syf00010	R00959	true	C00103	C00668
syf00010	R00959	true	C00668	C00103
syf00010	R03321	true	C01172	C05345
syf00010	R03321	true	C05345	C01172
syf00010	R01600	false	C00221	C01172
syf00010	R02739	true	C00668	C01172
syf00010	R02739	true	C01172	C00668
syf00010	R02739	true	C00668	C01172
syf00010	R02739	true	C01172	C00668
syf00010	R01786	false	C00267	C00668
syf00010	R00947	false	C00103	C00267
syf00010	R07618	true	C15973	C15972
syf00010	R07618	true	C15972	C15973
syf00010	R01512	true	C00197	C00236
syf00010	R01512	true	C00236	C00197
syf00010	R01061&R01063	true	C00118	C00236
syf00010	R01061&R01063	true	C00236	C00118
syf00010	R01196	true	C00024	C00022
syf00010	R01196	true	C00022	C00024
syf00010	R00235	false	C00033	C00024
syf00010	R01518	true	C00631	C00197
syf00010	R01518	true	C00197	C00631
syf00010	R02073	true	C05345	C05378
syf00010	R02073	true	C05378	C05345
syf00020	R07618	true	C15973	C15972
syf00020	R07618	true	C15972	C15973
syf00020	R00268	true	C05379	C00026
syf00020	R00268	true	C00026	C05379
syf00020	R01899	true	C00311	C05379
syf00020	R01899	true	C05379	C00311
syf00020	R02164	true	C00042	C00122
syf00020	R02164	true	C00122	C00042
syf00020	R01082	true	C00149	C00122
syf00020	R01082	true	C00122	C00149
syf00020	R01900	true	C00417	C00311
syf00020	R01900	true	C00311	C00417
syf00020	R01325	true	C00158	C00417
syf00020	R01325	true	C00417	C00158
syf00020	R00351	true	C00036 	C00158
syf00020	R00351	true	 C00024	C00158
syf00020	R00351	true	C00158	C00036 
syf00020	R00351	true	C00158	 C00024
syf00020	R00014	false	C00022 	C05125
syf00020	R00014	false	 C00068	C05125
syf00020	R03270	false	C05125 	C00068 
syf00020	R03270	false	C05125 	 C16255
syf00020	R03270	false	 C15972	C00068 
syf00020	R03270	false	 C15972	 C16255
syf00020	R07618	true	C15973	C15972
syf00020	R07618	true	C15972	C15973
syf00020	R02569	true	C15973 	C16255
syf00020	R02569	true	 C00024	C16255
syf00020	R02569	true	C16255	C15973 
syf00020	R02569	true	C16255	 C00024
syf00020	R01196	true	C00024	C00022
syf00020	R01196	true	C00022	C00024
syf00020	R02164	true	C00042	C00122
syf00020	R02164	true	C00122	C00042
syf00030	R02739	true	C00668	C01172
syf00030	R02739	true	C01172	C00668
syf00030	R05605	true	C04442	C00118 
syf00030	R05605	true	C04442	 C00022
syf00030	R05605	true	C00118 	C04442
syf00030	R05605	true	 C00022	C04442
syf00030	R01066	true	C00673	C00118
syf00030	R01066	true	C00118	C00673
syf00030	R01049	true	C00117	C00119
syf00030	R01049	true	C00119	C00117
syf00030	R01641	true	C05382 	C00117 
syf00030	R01641	true	C05382 	 C00231
syf00030	R01641	true	 C00118	C00117 
syf00030	R01641	true	 C00118	 C00231
syf00030	R01641	true	C00117 	C05382 
syf00030	R01641	true	C00117 	 C00118
syf00030	R01641	true	 C00231	C05382 
syf00030	R01641	true	 C00231	 C00118
syf00030	R01056	true	C00117	C00199
syf00030	R01056	true	C00199	C00117
syf00030	R01529	true	C00199	C00231
syf00030	R01529	true	C00231	C00199
syf00030	R01830	true	C00118 	C00279 
syf00030	R01830	true	C00118 	 C00231
syf00030	R01830	true	 C05345	C00279 
syf00030	R01830	true	 C05345	 C00231
syf00030	R01830	true	C00279 	C00118 
syf00030	R01830	true	C00279 	 C05345
syf00030	R01830	true	 C00231	C00118 
syf00030	R01830	true	 C00231	 C05345
syf00030	R01070	true	C05378	C00118
syf00030	R01070	true	C00118	C05378
syf00030	R04779	false	C05345	C05378
syf00030	R04780	false	C05378	C05345
syf00030	R02740	true	C00668	C05345
syf00030	R02740	true	C05345	C00668
syf00030	R01528	false	C00345	C00199
syf00030	R02035	false	C01236	C00345
syf00030	R02736	false	C01172	C01236
syf00030	R01520&R01521	true	C00221	C00198
syf00030	R01520&R01521	true	C00198	C00221
syf00030	R01827	true	C05382 	C00279 
syf00030	R01827	true	C05382 	 C05345
syf00030	R01827	true	 C00118	C00279 
syf00030	R01827	true	 C00118	 C05345
syf00030	R01827	true	C00279 	C05382 
syf00030	R01827	true	C00279 	 C00118
syf00030	R01827	true	 C05345	C05382 
syf00030	R01827	true	 C05345	 C00118
syf00030	R01057	true	C00620	C00117
syf00030	R01057	true	C00117	C00620
syf00030	R01621	false	C00231	C00118
syf00030	R10221	false	C00345	C00199
syf00030	R02736&R10907	false	C01172	C01236
syf00030	R02073	true	C05345	C05378
syf00030	R02073	true	C05378	C05345
syf00040	R01526	true	C00309	C00199
syf00040	R01526	true	C00199	C00309
syf00040	R01529	true	C00199	C00231
syf00040	R01529	true	C00231	C00199
syf00040	R00286	true	C00029	C00167
syf00040	R00286	true	C00167	C00029
syf00051	R00867	false	C00095	C05345
syf00051	R01819	true	C00275	C05345
syf00051	R01819	true	C05345	C00275
syf00051	R01818	true	C00275	C00636
syf00051	R01818	true	C00636	C00275
syf00051	R05692	false	C01222	C00325
syf00051	R00888	false	C00096	C01222
syf00051	R00885	false	C00636	C00096
syf00051	R04779	false	C05345	C05378
syf00051	R02073	true	C05345	C05378
syf00051	R02073	true	C05378	C05345
syf00051	R01015	true	C00118	C00111
syf00051	R01015	true	C00111	C00118
syf00051	R02568	true	C01094	C00577 
syf00051	R02568	true	C01094	 C00111
syf00051	R02568	true	C00577 	C01094
syf00051	R02568	true	 C00111	C01094
syf00051	R01070	true	C05378	C00118
syf00051	R01070	true	C00118	C05378
syf00051	R04780	false	C05378	C05345
syf00052	R03236&R03237&R03238&R03239	true	C01097	C03785
syf00052	R03236&R03237&R03238&R03239	true	C03785	C01097
syf00052	R01786	true	C00267	C00668
syf00052	R01786	true	C00668	C00267
syf00052	R00959	true	C00103	C00668
syf00052	R00959	true	C00668	C00103
syf00052	R00291	true	C00029	C00052
syf00052	R00291	true	C00052	C00029
syf00053	R00286	false	C00029	C00167
syf00053	R02957	true	C02670	C00818
syf00053	R02957	true	C00818	C02670
syf00061	R07765	true	C16221	C04088
syf00061	R07765	true	C04088	C16221
syf00061	R07764	true	C16220	C16221
syf00061	R07764	true	C16221	C16220
syf00061	R07762	false	C05764 	C16219
syf00061	R07762	false	 C01209	C16219
syf00061	R07763	true	C16219	C16220
syf00061	R07763	true	C16220	C16219
syf00061	R04968	false	C05761 	C05762
syf00061	R04968	false	 C01209	C05762
syf00061	R04726	false	C05223 	C05759
