pathway_note	reaction_name	IS_reversible	substrate	product
tma00010	R00754	true	C00469	C00084
tma00010	R00754	true	C00084	C00469
tma00010	R00703	true	C00186	C00022
tma00010	R00703	true	C00022	C00186
tma00010	R00200	false	C00074	C00022
tma00010	R00658	true	C00631	C00074
tma00010	R00658	true	C00074	C00631
tma00010	R01061	true	C00118	C00236
tma00010	R01061	true	C00236	C00118
tma00010	R01015	true	C00118	C00111
tma00010	R01015	true	C00111	C00118
tma00010	R01070	true	C05378	C00118 
tma00010	R01070	true	C05378	 C00111
tma00010	R01070	true	C00118 	C05378
tma00010	R01070	true	 C00111	C05378
tma00010	R04779	false	C05345	C05378
tma00010	R02740	true	C00668	C05345
tma00010	R02740	true	C05345	C00668
tma00010	R03321	true	C01172	C05345
tma00010	R03321	true	C05345	C01172
tma00010	R01600	false	C00221	C01172
tma00010	R02739	true	C00668	C01172
tma00010	R02739	true	C01172	C00668
tma00010	R01602	true	C00267	C00221
tma00010	R01602	true	C00221	C00267
tma00010	R01786	false	C00267	C00668
tma00010	R07618	true	C15973	C15972
tma00010	R07618	true	C15972	C15973
tma00010	R01512	true	C00197	C00236
tma00010	R01512	true	C00236	C00197
tma00010	R05133	false	C06187	C01172
tma00010	R05134	false	C06188	C01172
tma00010	R01196	true	C00024	C00022
tma00010	R01196	true	C00022	C00024
tma00010	R01518	true	C00631	C00197
tma00010	R01518	true	C00197	C00631
tma00010	R01196	false	C00022	C00024
tma00010	R02073	true	C05345	C05378
tma00010	R02073	true	C05378	C05345
tma00020	R01197	true	C00026	C00091
tma00020	R01197	true	C00091	C00026
tma00020	R07618	true	C15973	C15972
tma00020	R07618	true	C15972	C15973
tma00020	R00268	true	C05379	C00026
tma00020	R00268	true	C00026	C05379
tma00020	R01899	true	C00311	C05379
tma00020	R01899	true	C05379	C00311
tma00020	R01082	true	C00149	C00122
tma00020	R01082	true	C00122	C00149
tma00020	R00351	true	C00036 	C00158
tma00020	R00351	true	 C00024	C00158
tma00020	R00351	true	C00158	C00036 
tma00020	R00351	true	C00158	 C00024
tma00020	R07618	true	C15973	C15972
tma00020	R07618	true	C15972	C15973
tma00020	R01196	true	C00024	C00022
tma00020	R01196	true	C00022	C00024
tma00020	R01197	false	C00026	C00091
tma00020	R01196	false	C00022	C00024
tma00030	R02739	true	C00668	C01172
tma00030	R02739	true	C01172	C00668
tma00030	R05605	true	C04442	C00118 
tma00030	R05605	true	C04442	 C00022
tma00030	R05605	true	C00118 	C04442
tma00030	R05605	true	 C00022	C04442
tma00030	R02750	true	C01801	C00673
tma00030	R02750	true	C00673	C01801
tma00030	R02749	true	C00672	C00673
tma00030	R02749	true	C00673	C00672
tma00030	R01066	true	C00673	C00118
tma00030	R01066	true	C00118	C00673
tma00030	R01049	true	C00117	C00119
tma00030	R01049	true	C00119	C00117
tma00030	R01057	true	C00620	C00117
tma00030	R01057	true	C00117	C00620
tma00030	R01051	true	C00121	C00117
tma00030	R01051	true	C00117	C00121
tma00030	R01641	true	C05382 	C00117 
tma00030	R01641	true	C05382 	 C00231
tma00030	R01641	true	 C00118	C00117 
tma00030	R01641	true	 C00118	 C00231
tma00030	R01641	true	C00117 	C05382 
tma00030	R01641	true	C00117 	 C00118
tma00030	R01641	true	 C00231	C05382 
tma00030	R01641	true	 C00231	 C00118
tma00030	R01056	true	C00117	C00199
tma00030	R01056	true	C00199	C00117
tma00030	R01529	true	C00199	C00231
tma00030	R01529	true	C00231	C00199
tma00030	R01830	true	C00118 	C00279 
tma00030	R01830	true	C00118 	 C00231
tma00030	R01830	true	 C05345	C00279 
tma00030	R01830	true	 C05345	 C00231
tma00030	R01830	true	C00279 	C00118 
tma00030	R01830	true	C00279 	 C05345
tma00030	R01830	true	 C00231	C00118 
tma00030	R01830	true	 C00231	 C05345
tma00030	R01070	true	C05378	C00118
